id,ra,dec,ra_mag,dec_mag
9160461,37.510654,81.919647,37.576252,81.902748
9160462,37.798077,81.871758,37.86116,81.855354
9160463,36.684799,81.948952,36.768654,81.931
9160464,36.630386,81.956642,36.71534,81.938431
9160465,36.730221,81.950134,36.81263,81.931877
9160466,36.686699,81.948471,36.770298,81.930519
9160467,36.67144,81.948402,36.754784,81.930443
9160468,36.649773,81.936096,36.734482,81.918564
9160469,36.940475,81.922539,37.018959,81.905235
9160470,36.909168,81.920929,36.988834,81.903206
9160471,36.840061,81.915428,36.920467,81.898087
9160472,37.056969,81.912415,37.133965,81.895531
9160473,37.05315,81.912086,37.129612,81.895157
9160474,37.326855,81.848351,37.396748,81.832748
9160475,37.330849,81.823387,37.400051,81.808098
9160476,37.332294,81.823212,37.401119,81.807922
9160477,37.377281,81.793571,37.446651,81.77858
9160478,37.363586,81.787659,37.435181,81.77298
9160479,33.844151,81.8806,33.954201,81.865028
9160480,33.798832,81.861076,33.906982,81.845528
9160481,33.731354,81.871452,33.841766,81.855682
6153607,17.26104,83.19281,17.477406,83.188385
6153608,17.279249,83.180252,17.494757,83.176025
6153609,17.255096,83.187805,17.471466,83.183296
6153610,17.242521,83.192039,17.459654,83.187622
6153611,17.054165,83.212242,17.272329,83.207375
6153612,17.264771,83.202171,17.481874,83.197556
6153613,17.121662,83.206749,17.341259,83.202026
6153614,17.140493,83.188713,17.358408,83.184158
6153615,17.286951,83.188301,17.503176,83.183891
6153616,17.396484,83.249924,17.616888,83.244759
6153617,17.032354,83.141479,17.241598,83.137161
6153618,17.113283,83.143013,17.322863,83.139069
6153619,16.83667,83.135086,17.047066,83.130592
6153620,16.897684,83.132889,17.108013,83.128395
6153621,17.23723,83.182419,17.452564,83.178169
6153622,17.183971,83.173958,17.398111,83.169777
6153623,17.167303,83.149338,17.377075,83.145386
6153624,17.162592,83.149124,17.372356,83.14518
6153625,17.191999,83.15535,17.404081,83.151222
6153626,17.214142,83.146912,17.425966,83.142845
6153627,17.597616,83.143806,17.80234,83.140175
20828257,11.15441,80.476456,11.245321,80.471878
20828258,11.090315,80.471916,11.1789,80.467781
20828259,11.098756,80.478851,11.187492,80.474373
20828260,11.09659,80.481201,11.18515,80.476616
20828261,11.16219,80.430786,11.257377,80.425354
20828262,11.108618,80.475365,11.197598,80.471138
20828263,11.085382,80.474762,11.174451,80.470688
20828264,11.099958,80.486786,11.188708,80.482185
20828265,11.096258,80.477676,11.184607,80.473495
20828266,11.096774,80.47187,11.185822,80.467644
20828267,11.09168,80.474579,11.180921,80.470375
20828268,11.178713,80.471603,11.268985,80.467117
20828269,11.141087,80.481659,11.231889,80.477066
20828270,11.089523,80.478767,11.178596,80.474548
20828271,11.201521,80.477104,11.292337,80.472664
20828272,11.217212,80.487984,11.306385,80.483192
20828273,11.179246,80.465096,11.27198,80.460793
20828274,11.068689,80.492172,11.157353,80.487587
20828275,11.068434,80.504257,11.156618,80.499283
20828276,11.105786,80.493599,11.193872,80.488617
20828277,10.969042,80.491386,11.056542,80.486847
3119999,29.641506,82.716934,29.766169,82.702103
3120000,30.035297,82.729324,30.169571,82.713516
3120001,30.03434,82.72921,30.168827,82.713501
3120002,30.040743,82.734406,30.175108,82.718613
3120003,30.106745,82.763435,30.248507,82.749382
3120004,30.050234,82.74115,30.184727,82.725372
3120005,29.475327,82.731873,29.601257,82.717094
3120006,29.995913,82.67601,30.124783,82.661331
3120007,29.994558,82.676659,30.123711,82.66185
3120008,29.4921,82.674889,29.616121,82.659958
3120009,29.488556,82.67366,29.612297,82.658684
3120010,29.761356,82.669838,29.887049,82.655411
3120011,29.752659,82.669113,29.878798,82.654671
3120012,29.821791,82.671921,29.948158,82.657356
3120013,27.832802,82.655212,27.963095,82.641167
3120014,28.587975,82.694008,28.720778,82.679008
3120015,28.903572,82.680397,29.033016,82.665413
3120016,28.80563,82.640915,28.935741,82.625847
3120017,28.494534,82.615738,28.626354,82.600494
3120018,28.527323,82.614624,28.659124,82.599403
3120019,28.05522,82.614128,28.185617,82.59951
28567,0.121506,80.228531,0.199368,80.213669
28568,0.209874,80.23008,0.288236,80.215233
28569,0.330231,80.196098,0.400779,80.181023
28570,1.370768,80.237595,1.438327,80.224396
28571,2.298225,80.358795,2.37349,80.348557
28572,1.681108,80.243027,1.743774,80.230026
28573,1.67059,80.242462,1.733661,80.229485
28574,1.746416,80.236198,1.807218,80.223183
28575,1.921289,80.225708,1.984043,80.212639
28576,1.002251,79.990845,1.055854,79.975433
28577,1.093174,80.024239,1.15065,80.008293
28578,0.632189,79.935883,0.693042,79.921257
28579,0.621242,79.934181,0.683169,79.919739
28580,0.925434,79.975983,0.978439,79.960754
